Date;hash_rate;active_addre;tran_sec;tran_num;block_size;rev_all_miners;block_reward;size_tran;trans_fees;US_bank_idx
2016-07-19;1.36599175653902e+18;468850;2.569652777777778;222018;110181030;1661.86165427;1600.0000000000002;110148224;61.86165427;302.02
2016-07-20;1.59710977286896e+18;477662;2.6305439814814813;227279;119817640;1939.19434833;1874.9999999999995;119782530;64.19434833;302.51
2016-07-21;1.41885541065171e+18;446237;2.517048611111111;217473;107633260;1722.9162541;1662.5;107602058;60.4162541;300.71
2016-07-22;1.36719589231647e+18;467736;2.561053240740741;221275;111454597;1677.69185579;1612.4999999999998;111418621;65.19185579;302.39
2016-07-23;1.37295203607201e+18;447387;2.264641203703704;195665;108245567;1697.53161359;1637.5;108213912;60.03161359;
2016-07-24;1.3443644824129e+18;433698;2.126921296296296;183766;98152375;1600.9057638;1550.0000000000002;98119864;50.9057638;
2016-07-25;1.36137513470929e+18;498657;2.772962962962963;239584;119209339;1707.2216811899998;1637.4999999999995;119177779;69.72168119;301.35
2016-07-26;1.37049076012402e+18;507446;2.749351851851852;237544;119072994;1683.29427446;1612.4999999999995;119041725;70.79427446;302.47
2016-07-27;1.35667587970855e+18;476951;2.725405092592593;235475;117988793;1674.91411699;1600.0;117952976;74.91411699;303.09
2016-07-28;1.43905616611387e+18;494957;2.7167476851851853;234727;119033133;1771.6304599399998;1700.0000000000002;119000488;71.63045994;303.12
2016-07-29;1.55731940659605e+18;465289;2.676701388888889;231267;120888679;1909.76700639;1837.5;120853654;72.26700639;301.75
2016-07-30;1.26128460691654e+18;450520;2.3074652777777778;199365;103549096;1553.22047583;1487.5000000000002;103520887;65.72047583;
2016-07-31;1.64453066138511e+18;492070;2.2233796296296298;192100;122364078;1997.5596168;1924.9999999999995;122327501;72.5596168;
2016-08-01;1.60563463759996e+18;515913;2.602962962962963;224896;124569925;1985.67800941;1912.5000000000005;124533253;73.17800941;299.57
2016-08-02;1.61474671966726e+18;537971;2.9044444444444446;250944;132338654;2006.38920804;1925.0;132294499;81.38920804;297.57
2016-08-03;1.66592642112774e+18;517150;2.7964814814814813;241616;131314757;2150.68290751;2075.0;131275244;75.68290751;301.81
2016-08-04;1.54585699519293e+18;488324;2.6815046296296297;231682;119453622;1982.03744777;1912.5000000000005;119410930;69.53744777;301.97
2016-08-05;1.70229863978831e+18;476990;2.6397569444444446;228075;118476780;2187.05527344;2112.5;118433372;74.55527344;311.01
2016-08-06;1.65498943939202e+18;425125;2.262766203703704;195503;102794604;2134.68826373;2074.9999999999995;102751589;59.68826373;
2016-08-07;1.48468239115389e+18;447566;2.225300925925926;192266;113711532;1916.98389239;1850.0000000000005;113675901;66.98389239;
2016-08-08;1.47825215929219e+18;530880;2.7216087962962963;235147;124208432;1936.44357031;1850.0;124173092;86.44357031;311.23
2016-08-09;1.235972958209e+18;491059;2.676805555555556;231276;109186311;1624.2972456700002;1550.0;109152934;74.29724567;311.19
2016-08-10;1.5480525818168e+18;531267;2.8308912037037035;244589;126027881;1963.03269014;1887.4999999999995;125988576;75.53269014;306.95
2016-08-11;1.47471865536739e+18;531336;2.944039351851852;254365;129070982;1954.92226711;1875.0;129034511;79.92226711;307.95
2016-08-12;1.49583886293155e+18;491187;2.694722222222222;232824;119985859;1933.26200713;1862.5;119950005;70.76200713;306.87
2016-08-13;1.64369499101554e+18;455316;2.481550925925926;214406;108413761;2100.24827301;2037.5000000000005;108374600;62.74827301;
2016-08-14;1.62828132663732e+18;455985;2.314942129629629;200011;104279759;2099.12650466;2037.5000000000005;104241335;61.62650466;
2016-08-15;1.50009757328878e+18;500678;2.3466435185185186;202750;118226381;1893.34053066;1825.0000000000005;118191101;68.34053066;310.0
2016-08-16;1.4424048656832e+18;537430;2.9432407407407406;254296;124210107;1770.59112751;1687.5;124177746;83.09112751;310.62
2016-08-17;1.32588999532998e+18;523661;2.7532407407407407;237880;116825549;1611.23160399;1537.5000000000005;116796348;73.73160399;311.29
2016-08-18;1.65526036733126e+18;528968;2.7706828703703703;239387;123024288;2001.47075341;1925.0;122987615;76.47075341;311.51
2016-08-19;1.67117152249995e+18;508742;2.846539351851852;245941;121783559;2005.79961253;1925.0;121746270;80.79961253;311.87
2016-08-20;1.67047052783889e+18;495530;2.4082060185185186;208069;110677554;1998.71304534;1937.5;110635839;61.21304534;
2016-08-21;1.7615482818765e+18;446787;2.1382060185185185;184741;100230318;2088.16277505;2037.5000000000005;100188272;50.66277505;
2016-08-22;1.7110782174265e+18;526721;2.641377314814815;228215;124010846;2040.77382642;1975.0000000000005;123972990;65.77382642;311.85
2016-08-23;1.58322923967236e+18;512415;2.7647453703703704;238874;121858828;1905.15790776;1837.5;121822319;67.65790776;312.05
2016-08-24;1.64564243323946e+18;513938;2.7196527777777777;234978;114955948;1964.62449049;1900.0;114919011;64.62449049;312.51
2016-08-25;1.38005908877369e+18;489481;2.7069328703703706;233879;112847253;1689.61425534;1624.9999999999998;112815467;64.61425534;313.21
2016-08-26;1.42423832241307e+18;483670;2.6230902777777776;226635;111462429;1712.44953714;1650.0000000000005;111429297;62.44953714;315.21
2016-08-27;1.5425725138584e+18;456254;2.210115740740741;190954;98913974;1855.47429433;1800.0000000000005;98878897;55.47429433;
2016-08-28;1.65417861949634e+18;427988;2.017789351851852;174337;92496213;1948.91366874;1900.0;92459760;48.91366874;
2016-08-29;1.60839279864359e+18;500178;2.6057060185185184;225133;120529385;1926.87949671;1862.5;120493836;64.37949671;318.42
2016-08-30;1.79532464346499e+18;548989;2.9147916666666664;251838;128449334;2117.63053145;2050.0;128409486;67.63053145;322.74
2016-08-31;1.47838211399731e+18;497975;2.6067824074074077;225226;111855972;1737.4773083599998;1674.9999999999998;111823921;62.47730836;323.06
2016-09-01;1.52788412411521e+18;486446;2.746828703703704;237326;118894295;1813.48703333;1749.9999999999995;118860815;63.48703333;321.01
2016-09-02;1.68293149750216e+18;477616;2.612303240740741;225703;111177580;1969.83859607;1912.5;111140051;57.33859607;322.35
2016-09-03;1.37909594395901e+18;464600;2.107384259259259;182078;97012715;1626.54954056;1574.9999999999998;96982107;51.54954056;
2016-09-04;1.954746481869e+18;438963;2.1188078703703703;183065;103704634;2284.13006916;2237.4999999999995;103661121;46.63006916;
2016-09-05;1.53484479134732e+18;541913;2.633599537037037;227543;123241840;1813.04984857;1750.0000000000005;123208579;63.04984857;
2016-09-06;1.51032431812046e+18;519335;2.684976851851852;231982;117905140;1760.65357465;1699.9999999999995;117872457;60.65357465;319.21
2016-09-07;1.63418555392412e+18;525769;2.901122685185185;250657;123018439;1963.76239601;1900.0;122982001;63.76239601;319.13
2016-09-08;1.58608838839688e+18;500348;2.6257175925925926;226862;117231435;1859.60240707;1800.0;117196880;59.60240707;320.45
2016-09-09;1.55147899547398e+18;491665;2.5508333333333333;220392;115450843;1838.36822147;1775.0000000000005;115416636;63.36822147;316.72
2016-09-10;1.69263807282603e+18;445997;2.2357060185185187;193165;100223519;1988.65995466;1937.5;100185633;51.15995466;
2016-09-11;1.79769081812255e+18;458622;2.085960648148148;180227;97041588;2097.4330586700003;2050.0;97002040;47.43305867;
2016-09-12;1.81120252644505e+18;510497;2.413032407407407;208486;112604994;2093.42604475;2037.4999999999995;112565935;55.92604475;318.86
2016-09-13;1.86102716476891e+18;530326;2.7745486111111117;239721;128843759;2130.55656902;2062.4999999999995;128801536;68.05656902;313.58
2016-09-14;1.7341285755328e+18;491546;2.681064814814815;231644;119216272;2012.36523412;1950.0;119179332;62.36523412;311.67
2016-09-15;1.72564116517293e+18;494399;2.700625;233334;115958737;1984.6961998100005;1925.0;115921621;59.69619981;312.74
2016-09-16;1.5607868310367e+18;474532;2.4420023148148147;210989;107673161;1801.49372021;1737.5;107640032;63.99372021;309.13
2016-09-17;1.82849710820242e+18;509402;2.492662037037037;215366;122964582;2095.13998368;2037.5;122926294;57.63998368;
2016-09-18;1.63903127976432e+18;463459;2.215949074074074;191458;98354542;1865.5225757;1812.5;98319425;53.0225757;
2016-09-19;1.50356253583471e+18;505144;2.585729166666667;223407;111060484;1728.6204375799998;1662.5000000000005;111028245;66.12043758;311.08
2016-09-20;1.66670457873402e+18;533332;2.825972222222222;244164;118181209;1955.86086914;1887.5;118144754;68.36086914;311.99
2016-09-21;1.86006373306808e+18;514298;2.7667824074074074;239050;118084398;2139.96509855;2074.9999999999995;118044775;64.96509855;312.49
2016-09-22;1.58207203253544e+18;496580;2.6746064814814816;231086;107524077;1825.22699094;1762.4999999999995;107490478;62.72699094;313.31
2016-09-23;1.53593792616394e+18;488851;2.581608796296296;223051;109515503;1760.05767564;1700.0000000000005;109479687;60.05767564;312.87
2016-09-24;1.86389651858955e+18;473845;2.413009259259259;208484;105557222;2133.95425424;2075.0;105516952;58.95425424;
2016-09-25;2.14034738231358e+18;465826;2.262233796296296;195457;105617598;2362.09149659;2312.5;105572796;49.59149659;
2016-09-26;1.86955417792047e+18;540149;2.6691666666666665;230616;117937665;1973.02560461;1912.5;117895992;60.52560461;305.96
2016-09-27;1.9775131183977e+18;549231;2.7797222222222224;240168;127627975;2150.49270729;2087.5;127575474;62.99270729;308.8
2016-09-28;1.78798174571165e+18;546880;2.718136574074074;234847;115781311;1914.74431075;1850.0;115736290;64.74431075;310.86
2016-09-29;1.6942490861066e+18;553098;2.8077199074074075;242587;119092742;1856.03955587;1787.4999999999995;119049264;68.53955587;305.84
2016-09-30;1.71914437001181e+18;559461;2.902789351851852;250801;119756751;1843.45068728;1775.0000000000005;119717345;68.45068728;310.67
2016-10-01;1.86697290057242e+18;498317;2.474224537037037;213773;111670496;2021.2351644;1962.5;111632849;58.7351644;
2016-10-02;1.76725549782218e+18;462246;2.2284953703703705;192542;101313035;1815.92262056;1762.5;101279374;53.42262056;
2016-10-03;1.7508701814143e+18;628726;2.993680555555556;258654;130547673;1962.73840275;1887.5;130508038;75.23840275;309.17
2016-10-04;1.87675346087276e+18;600984;3.0613888888888887;264504;130182345;2046.03602966;1975.0;130144470;71.03602966;311.32
2016-10-05;2.00515141320686e+18;585512;3.0861574074074074;266644;131748310;2160.2784431600003;2087.5;131708221;72.77844316;317.5
2016-10-06;1.91998218992905e+18;621267;3.1750578703703702;274325;133211494;2090.22649993;2012.5;133173170;77.72649993;318.77
2016-10-07;1.73149381568338e+18;577183;3.080798611111111;266181;124051855;1859.55178137;1787.4999999999995;124014146;72.05178137;318.85
2016-10-08;2.07551717198013e+18;549357;2.8993402777777777;250503;128649860;2180.01007174;2112.5;128606015;67.51007174;
2016-10-09;2.05710242869675e+18;509881;2.435046296296296;210388;109160440;2058.27379152;2000.0;109121750;58.27379152;
2016-10-10;1.60295946071286e+18;514272;2.579537037037037;222872;106444298;1617.8353189;1550.0000000000002;106414704;67.8353189;320.96
2016-10-11;1.77485910674177e+18;601459;3.048912037037037;263426;128309325;1818.25501147;1737.4999999999995;128276785;80.75501147;318.1
2016-10-12;1.85134931166224e+18;544757;2.700185185185185;233296;124494613;1868.31244694;1800.0;124457240;68.31244694;317.3
2016-10-13;1.65308966510831e+18;547633;2.657118055555556;229575;116741080;1667.12105979;1600.0;116707664;67.12105979;312.84
2016-10-14;1.72850243186523e+18;531872;2.7730092592592595;239588;116782478;1768.01350542;1700.000000000001;116740847;68.01350542;313.64
2016-10-15;1.82593211873838e+18;501357;2.4340972222222224;210306;110994520;1837.6006372;1774.9999999999995;110948697;62.6006372;
2016-10-16;1.66998412051861e+18;482303;2.288726851851852;197746;98656699;1682.5484676100004;1624.9999999999995;98613043;57.54846761;
2016-10-17;1.6110660906405e+18;550425;2.7442939814814813;237107;116209166;1634.94112233;1562.5000000000002;116174930;72.44112233;312.56
2016-10-18;1.98598813970576e+18;588289;2.909328703703704;251366;130486535;2014.74037508;1937.5;130449023;77.24037508;315.86
2016-10-19;1.64135931538173e+18;459857;2.302754629629629;198958;100925218;1624.88149631;1562.5;100890579;62.38149631;320.03
2016-10-20;1.69358433355382e+18;624193;3.127847222222222;270246;130975846;1764.3186333899998;1675.0;130944102;89.31863339;320.5
