roy_final
time;open;high;low;close;Upper Bollinger;Lower Bollinger;Upper Donchian;Lower Donchian;Volume;Red Arrow;Green Arrow;RSI;Put-call Ratio;Detrended Price Oscillator
1541376000;6428.23;6441.43;6369.89;6403.2;6475.386038659169;6280.422961340823;6490;6199.25;2335.48865475;0;0;51.062585829970466;1.02;-10.44761904762072
1541462400;6404.97;6460.01;6378.24;6447.5;6477.232949484529;6279.597050515464;6490;6199.25;4270.33460011;0;0;54.724374335292026;1.121;42.23428571428394
1541548800;6448.17;6544;6442.47;6501;6495.894194106706;6271.417805893287;6544;6199.25;4798.83604741;0;1;58.73968807937733;971;102.23047619047429
1541635200;6501;6511.27;6388.88;6405.49;6497.398061234898;6272.116938765094;6544;6199.25;3966.97303181;0;0;50.18324085444365;972;14.913809523807686
1541721600;6405.49;6418.18;6307;6325;6495.111804540597;6265.617195459395;6544;6199.25;3218.12902607;0;0;44.32355669004486;1.11;-49.470000000001164
1541808000;6325;6377.26;6323;6349.32;6491.619591069564;6262.703408930429;6544;6199.25;1523.39384996;0;0;46.36152873162389;1.11;-9.94333333333634
1541894400;6349.39;6365;6269.46;6357.54;6488.696408645509;6260.774591354483;6544;6199.25;1718.26855567;0;0;47.06678657934512;1.11;8.480476190473382
1541980800;6352.57;6388.21;6298.5;6318;6487.172822543667;6254.757177456324;6544;6199.25;3526.03903239;0;0;44.06542040025095;1.196;-40.02285714285881
1542067200;6318.01;6328.36;6244.35;6260.91;6487.357647526313;6239.467352473681;6544;6199.25;3630.56272124;0;0;40.09028737436241;0.99;-104.9833333333354
1542153600;6255.86;6298.47;5324;5595.91;6679.384036440814;5967.678963559177;6544;5324;25121.93301356;0;0;18.807440253896175;1.228;-776.4266666666681
1542240000;5592.23;5641;5199.8;5585;6759.562676126906;5805.3903238730845;6544;5199.8;19945.90828161;0;0;18.632675613431516;856;-798.7061904761922
1542326400;5571.12;5610;5411.74;5508.71;6817.303823527502;5657.75417647249;6544;5199.8;8074.6055758;0;0;17.414100062632542;943;-873.1609523809539
1542412800;5514.62;5550.66;5452.63;5503.36;6848.278458932849;5536.558541067141;6544;5199.8;2732.79162871;0;0;17.328512752403313;943;-877.8585714285728
1542499200;5503.36;5658.47;5500;5559.26;6867.146937365202;5446.964062634788;6544;5199.8;2576.4553201;0;0;21.66092231432458;943;-824.9923809523825
1542585600;5553.01;5559.69;4694.44;4735.44;7019.699403355204;5141.009596644786;6544;4694.44;28910.62553331;0;0;11.825432472146886;978;-1649.2557142857167
1542672000;4732.92;4897.36;4048.58;4352;7179.368574934604;4786.213425065385;6544;4048.58;39775.38943928;0;0;9.632982925282278;931;-2029.911904761906
1542758400;4349.41;4635;4242.33;4538.01;7230.964699091801;4554.319300908188;6544;4048.58;20678.25000596;0;0;17.61284930190631;1.091;-1840.8761904761923
1542844800;4551.47;4589.53;4194.98;4275.23;7281.9772553217545;4295.786744678236;6544;4048.58;10258.46172893;0;0;15.526868758635132;1.091;-2100.9971428571444
1542931200;4268.4;4364.46;4061.02;4288.26;7292.211932642127;4080.8780673578626;6544;4048.58;13322.77736822;0;0;16.05775079066032;1.118;-2083.77380952381
1543017600;4288.25;4376.88;3638.48;3785.65;7322.0107525867;3787.4682474132887;6544;3638.48;14236.74417437;0;0;12.733470631261767;1.118;-2580.0742857142864
1543104000;3780.67;4120;3474.73;3938.89;7286.446186986912;3576.601813013078;6544;3474.73;26969.94763424;0;0;18.287726704919905;1.118;-2387.9747619047635
1543190400;3934.22;4069.59;3522.28;3727.34;7229.721467414554;3361.310532585434;6544;3474.73;24357.88293934;0;0;16.70684887745945;967;-2561.0233333333344
1543276800;3727.34;3834.35;3548.76;3771.01;7118.814374815491;3199.2186251844996;6511.27;3474.73;16814.00296565;0;0;18.277341558603254;922;-2474.6204761904773
1543363200;3771.01;4355.08;3771;4220.16;6962.497266713595;3137.002733286394;6418.18;3474.73;22983.71348838;0;0;32.3959591488787;845;-1982.408571428573
1543449600;4219.77;4409.77;4086.97;4249.8;6794.846144733912;3097.133855266076;6388.21;3474.73;15944.01262628;0;0;33.21592186180065;892;-1912.4680952380968
1543536000;4250;4300;3861;3971.06;6604.135952551749;3050.01804744824;6388.21;3474.73;14364.62144791;0;0;29.582155177526744;762;-2118.299523809525
1543622400;3970.56;4264.47;3904.34;4140.39;6369.889777878604;3062.549222121398;6388.21;3474.73;6412.23253743;0;0;34.2853424684446;762;-1857.661904761906
1543708800;4140.4;4265;4030;4102.05;6104.695732453189;3106.148267546812;6328.36;3474.73;7019.16205825;0;0;33.73592177957475;762;-1811.9419047619067
1543795200;4099.63;4115.15;3747;3834.34;5810.639651361159;3157.547348638843;6298.47;3474.73;10726.6773046;0;0;30.107868198938263;778;-1981.2823809523825
1543881600;3830.81;4033.98;3730;3903.52;5644.973411648245;3153.9745883517553;5658.47;3474.73;12249.9368879;0;0;32.13883611234105;946;-1813.9038095238116
1543968000;3903.52;3913.62;3662.35;3696.69;5459.743880807753;3150.373119192247;5658.47;3474.73;13443.12710553;0;0;29.38917120246839;946;-1899.3361904761919
1544054400;3694.03;3844.79;3415.22;3437.26;5274.448598721948;3128.523401278052;5658.47;3415.22;15480.96697218;0;0;26.344559484965288;1.084;-2040.5342857142869
1544140800;3437.22;3531;3210;3380.68;5045.067931204772;3145.6360687952288;5658.47;3210;26513.2316249;0;0;25.71877852509499;1.168;-1969.6923809523837
1544227200;3376.27;3495.99;3241;3398.8;4711.0113109045415;3263.646689095459;5559.69;3210;10176.34927433;0;0;26.322375359560667;1.168;-1824.1204761904783
1544313600;3398.8;3633.2;3371.09;3529.75;4589.706478643073;3264.3825213569266;4897.36;3210;8011.02295177;0;0;30.70469185900417;1.168;-1584.55904761905
1544400000;3528.68;3588.43;3355;3408;4549.152755693261;3210.5362443067384;4635;3210;10375.26877055;0;0;28.9788634146246;1.074;-1603.6571428571451
1544486400;3406.41;3427.27;3292.65;3353.42;4455.2244800900635;3186.005519909935;4589.53;3210;8951.71070828;0;0;28.21327453093585;975;-1546.144761904764
1544572800;3345.01;3490;3325.7;3430.18;4398.637467570992;3158.0875324290046;4409.77;3210;7284.10378196;0;0;30.97516081050577;1.004;-1364.1976190476194
1544659200;3430.2;3441.13;3221.14;3262.73;4339.785110898801;3114.386889101198;4409.77;3210;11715.01908312;0;0;28.407544022712173;1.153;-1424.2433333333342
1544745600;3263.55;3294.81;3135.55;3195.75;4351.577254409199;3043.6047455908006;4409.77;3135.55;14437.50526664;0;0;27.428149176429457;1.139;-1372.9538095238104
1544832000;3194.04;3230;3122.28;3179.54;4340.771224778684;2978.4757752213145;4409.77;3122.28;5814.86853241;1;0;27.18388587689823;1.139;-1276.9071428571442
1544918400;3180.84;3259.43;3178.23;3193.78;4342.593503350382;2923.2974966496163;4409.77;3122.28;6033.50714633;0;0;27.792241098976703;1.139;-1172.2280952380966
1545004800;3191.41;3590;3181.26;3496.73;4328.277735961511;2910.185264038487;4409.77;3122.28;16389.79444903;0;0;39.39326408657668;1.371;-767.0047619047632
1545091200;3499.37;3684;3422.77;3667.16;4245.741182746638;2937.421817253361;4409.77;3122.28;13792.36427592;0;0;44.76919371491483;1.095;-495.2400000000016
1545177600;3667.16;3924.01;3642.69;3684.5;4146.245055151658;2980.38794484834;4300;3122.28;21125.61437541;0;0;45.30081367531639;1.279;-377.6828571428591
1545264000;3684.03;4172.07;3656.75;4073.77;4167.25230873755;2969.6516912624475;4265;3122.28;25986.85291601;0;0;55.62671560529862;1.825;108.23047619047475
1545350400;4073.58;4162;3770;3841.08;4107.660240889241;2999.3127591107573;4265;3122.28;16967.23460506;0;0;49.599262789190064;1.449;-61.24809523809654
1545436800;3842.59;4010.16;3780.09;3980.9;4079.7013355164836;3015.1566644835148;4172.07;3122.28;7697.59815203;0;0;52.901680991737265;1.449;126.12333333333208
1545523200;3977.65;4051;3900;3943.83;4098.941158711548;3006.8658412884497;4172.07;3122.28;4609.89261726;0;0;51.93015862994723;1.449;141.80714285714157
1545609600;3947.82;4236.84;3944.84;4036;4125.276273640011;2993.7787263599876;4236.84;3122.28;12017.91713092;0;1;54.18315352515843;1.323;282.1914285714274
1545696000;4034.54;4049.23;3674.73;3779.99;4134.621846307541;2992.7631536924578;4236.84;3122.28;11801.43441841;0;0;47.52085901699457;1.323;78.20571428571247
1545782400;3780;3863.34;3678.8;3810.01;4159.831791858827;3004.828208141171;4236.84;3122.28;10064.18282348;0;0;48.323262996809596;1.083;137.08809523809396
1545868800;3810.01;3841.17;3566;3591.69;4162.9226430202925;3022.838356979706;4236.84;3122.28;11850.0123819;0;0;43.155420942913295;0.96;-45.75047619047746
1545955200;3590.26;3970;3575;3884.97;4193.482535653622;3040.8954643463762;4236.84;3122.28;13055.71840689;0;0;50.771678411553545;777;258.5109523809515
