time,Value_M3,Value_CPI,Value_EFF,Value_SP500,Value_USpce,Value_USreal,Variation_UStotal,Value_USunem
2022-06-16,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-17,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-18,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-19,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-20,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-21,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-22,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-23,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-24,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-25,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-26,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-27,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-28,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-29,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-30,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-07-01,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-02,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-03,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-04,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-05,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-06,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-07,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-08,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-09,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-10,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-11,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
2022-07-12,0.0016800032910719853,-0.05904605840465049,1.68,9.11,6.39,,0.3725977251928357,3.5
